162	164	0.528592050075531
172	174	0.5075191855430603
192	194	0.6494213342666626
204	206	0.5255808234214783
220	222	0.7271366119384766
310	312	0.608160674571991
322	324	0.7882638573646545
376	378	0.61176997423172
394	396	0.9284400343894958
406	408	0.6424376964569092
430	432	0.5005530118942261
540	542	0.5998866558074951
586	588	0.7640978097915649
588	590	0.6361367702484131
628	630	0.5014609098434448
790	792	0.7956502437591553
848	850	0.7539770007133484
908	910	0.5651351809501648
930	932	0.5032880306243896
972	974	0.5651471018791199
1002	1004	0.9540929198265076
1054	1056	0.5243397355079651
1090	1092	0.9350353479385376
1098	1100	0.502276599407196
1122	1124	0.5697388648986816
1142	1144	0.9807597994804382
1156	1158	0.8020550012588501
1160	1162	0.692740261554718
1196	1198	0.8859958648681641
1212	1214	0.7484299540519714
1224	1226	0.5665315389633179
1252	1254	0.5044100880622864
1262	1264	0.5122503638267517
1364	1366	0.5034226179122925
1420	1422	0.5694105625152588
1466	1468	0.6010932326316833
1534	1536	0.7829516530036926
1622	1624	0.618359386920929
1752	1754	0.5209752321243286
1826	1828	0.5004806518554688
1966	1968	0.5107160806655884
1978	1980	0.7570242881774902
2052	2054	0.6317639350891113
2082	2084	0.5273796916007996
2104	2106	0.7878115773200989
2110	2112	0.527528703212738
2116	2118	0.5955390930175781
2122	2124	0.5264831185340881
2186	2188	0.5033589005470276
2222	2224	0.5027087926864624
2254	2256	0.5444801449775696
2276	2278	0.5420109629631042
2304	2306	0.9343646168708801
2356	2358	0.6724798679351807
2406	2408	0.7858378291130066
2432	2434	0.6705583930015564
2474	2476	0.7746573686599731
2590	2592	0.5343438982963562
2686	2688	0.5386872887611389
2822	2824	0.5131275057792664
2844	2846	0.5143239498138428
2892	2894	0.6977845430374146
